OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Micareaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Georgefischeriales,f__Tilletiariaceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__unidentified",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,__",1,1,0,1
"k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Protomycetaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unidentified,f__unidentified",0,0,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,__",0,1,0,1
"k__Fungi,p__Ascomycota,c__Laboulbeniomycetes,o__Pyxidiophorales,f__Pyxidiophoraceae",1,0,0,1
"k__Fungi,p__Ascomycota,c__unidentified,o__unidentified,f__unidentified",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Jaapiales,f__Jaapiaceae",0,0,0,1
"k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Lentamycetaceae",0,0,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Morchellaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Gomphales,f__Gomphaceae",0,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Occultibambusaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Gnomoniaceae",1,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,f__Physciaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,__",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryomycetes_ord_Incertae_sedis,f__Microbotryomycetes_fam_Incertae_sedis",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Capnodiales_fam_Incertae_sedis",1,1,0,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Gymnoascaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Camarosporidiellaceae",0,0,0,1
"k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,f__unidentified",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Atractiellomycetes,o__Atractiellales,f__Phleogenaceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Pertusariales,f__Megasporaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Entylomatales,f__unidentified",0,1,0,1
"k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS22,f__unidentified",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryales,f__Microbotryaceae",0,0,0,1
"k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Diatrypaceae",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__unidentified",1,0,0,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__unidentified,f__unidentified",1,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Glomerellaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Trichomonascaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Geastraceae",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Peniophoraceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Diaporthaceae",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae",1,1,1,1
"k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,f__Piptocephalidaceae",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__unidentified",0,1,0,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__unidentified",1,0,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Thelebolaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Halosphaeriaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Melanosporales,f__Ceratostomataceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__unidentified,f__unidentified",0,1,0,1
"k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae",1,1,1,1
"k__Fungi,p__Monoblepharomycota,c__Sanchytriomycetes,o__Sanchytriales,f__Sanchytriaceae",0,0,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Conioscyphales,f__Conioscyphaceae",0,1,0,1
"k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__GS23,f__unidentified",0,0,0,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,__",0,1,0,1
"k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__unidentified",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Kondoaceae",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Holtermanniales,f__Holtermanniales_fam_Incertae_sedis",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Kriegeriales,f__Kriegeriaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetales_fam_Incertae_sedis",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae",1,1,0,1
"k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Niessliaceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Metschnikowiaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,__,__",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Podoscyphaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae",1,1,0,1
"k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Terramycetaceae",0,0,0,1
"k__Fungi,p__Calcarisporiellomycota,c__Calcarisporiellomycetes,o__Calcarisporiellales,f__Calcarisporiellaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__unidentified,o__unidentified,f__unidentified",1,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,__",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Amphisphaeriaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,__",0,1,0,1
"k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS20,f__unidentified",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis",1,1,0,1
"k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Hyaloriaceae",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hysterangiales,f__Hysterangiaceae",0,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Buckleyzymaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Minutisphaerales,f__Minutisphaeraceae",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Ophiostomatales,f__Ophiostomatales_fam_Incertae_sedis",1,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Syzygosporaceae",0,0,1,1
"k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Saccharomycetes,o__unidentified,f__unidentified",0,0,0,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pleurotaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__unidentified",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Phallales,f__Phallaceae",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Leucosporidiales,f__Leucosporidiaceae",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__unidentified,f__unidentified",1,1,0,1
"k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Cunninghamellaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__unidentified",0,1,1,1
"k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,f__unidentified",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Stephanosporaceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Peltigerales,f__Peltigeraceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Schizoporaceae",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__unidentified,f__unidentified",1,1,1,1
"k__Fungi,p__Glomeromycota,__,__,__",0,1,1,1
"k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,f__Rhizophlyctidaceae",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Rhytismatales,f__unidentified",0,0,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,__",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae",1,1,0,1
"k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae",1,1,1,1
"k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Botryobasidiaceae",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__unidentified",1,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Extremaceae",0,1,1,1
